Tm,#Fld,RA/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rof,Rdrs,Rdrs/yr,Rpm,Rof,Rgood
Arizona Diamondbacks,7,4.59,104,312,250,2749.0,778,748,20,10,5,.987,8,4,11,-3,13,5,11,-1,3
Atlanta Braves,12,3.92,106,318,272,2848.0,636,618,9,9,2,.986,-15,-6,-11,-4,-8,-3,-2,-3,-3
Baltimore Orioles,11,4.18,105,315,272,2789.0,708,677,23,8,3,.989,-6,-3,-10,4,13,5,4,9,0
Boston Red Sox,9,4.68,107,321,269,2860.0,672,658,9,5,2,.993,14,6,12,2,-4,-1,-2,0,-2
Chicago Cubs,11,4.95,104,312,252,2782.0,672,638,20,14,3,.979,-19,-8,-22,3,-20,-8,-21,2,-1
Chicago White Sox,10,4.45,105,315,241,2823.0,671,651,9,11,3,.984,-30,-13,-27,-3,-9,-3,-9,-3,3
Cincinnati Reds,12,5.19,104,312,273,2742.0,742,706,24,12,4,.984,4,2,1,2,7,3,6,1,0
Cleveland Guardians,12,4.29,105,315,253,2788.0,746,708,28,10,6,.987,21,9,15,5,14,6,2,10,2
Colorado Rockies,8,5.38,108,324,249,2857.0,721,689,19,13,4,.982,-35,-15,-21,-15,-19,-7,-15,-3,-1
Detroit Tigers,11,4.40,107,321,287,2795.0,795,775,13,7,3,.991,11,5,17,-6,10,4,10,-4,4
Houston Astros,9,3.29,107,321,285,2846.0,714,695,11,8,2,.989,38,16,34,5,31,13,25,1,5
Kansas City Royals,12,5.04,106,318,266,2788.0,715,697,11,7,1,.990,13,6,16,-3,5,2,4,0,1
Los Angeles Angels,15,4.28,105,315,248,2780.0,696,674,10,12,3,.983,-3,-1,0,-3,-8,-3,5,-7,-6
Los Angeles Dodgers,12,3.25,105,315,275,2809.0,685,665,14,6,7,.991,29,12,22,6,13,5,7,5,1
Miami Marlins,10,4.24,105,315,250,2795.0,620,595,19,6,1,.990,-10,-4,-17,7,1,0,-7,8,0
Milwaukee Brewers,8,4.30,105,315,293,2793.0,616,595,15,6,5,.990,-7,-3,-6,-1,7,3,7,0,0
Minnesota Twins,11,4.29,105,315,233,2790.0,761,736,15,10,2,.987,23,10,25,-2,15,6,14,0,1
New York Mets,10,3.75,105,315,258,2810.0,622,601,18,3,4,.995,4,1,6,-2,10,4,8,2,0
New York Yankees,10,3.41,106,318,243,2856.0,626,614,10,2,1,.997,10,4,2,8,-1,0,-2,0,1
Oakland Athletics,12,4.47,107,321,255,2813.0,728,708,14,6,4,.992,0,0,-3,3,0,0,0,0,0
Philadelphia Phillies,11,4.15,105,315,253,2793.0,653,633,16,4,2,.994,-17,-7,-14,-2,-25,-10,-15,-8,-2
Pittsburgh Pirates,15,5.06,105,315,251,2777.0,639,620,12,7,3,.989,-36,-16,-34,-3,-10,-4,-8,-5,3
San Diego Padres,12,4.01,108,324,255,2895.0,702,680,14,8,3,.989,-4,-2,1,-5,7,2,9,-3,1
Seattle Mariners,16,3.89,106,318,251,2823.0,759,740,16,3,0,.996,22,9,21,1,7,2,5,3,-1
San Francisco Giants,16,4.39,106,318,153,2811.0,622,598,13,11,1,.982,-17,-7,-13,-4,-30,-12,-21,-6,-3
St. Louis Cardinals,9,3.90,105,315,268,2783.0,645,619,21,5,4,.992,-8,-4,-13,5,-5,-2,-11,5,1
Tampa Bay Rays,12,3.90,105,315,249,2804.0,674,648,15,11,1,.984,2,1,0,2,10,4,5,3,2
Texas Rangers,14,4.50,105,315,236,2802.0,672,645,22,5,4,.993,4,2,2,2,-2,0,-2,-2,2
Toronto Blue Jays,9,4.20,105,315,225,2799.0,693,665,19,9,3,.987,14,6,14,0,3,1,-3,5,1
Washington Nationals,7,5.45,107,321,260,2808.0,750,727,12,11,2,.985,-6,-3,-6,0,-2,0,-4,5,-3
