year,Tm,#Fld,RA/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rof,Rdrs,Rdrs/yr,Rpm,Rof,Rgood,Playoff
2004,Anaheim Angels,11,4.53,162,486,395,4363.0,1161,1110,32,19,6,.984,-5,-1,-11,6,-17,-4,-26,7,2,1
2004,Arizona Diamondbacks,13,5.55,162,486,440,4308.0,984,936,26,22,8,.978,-26,-7,-22,-4,-1,0,13,-8,-5,0
2004,Atlanta Braves,10,4.12,162,486,425,4350.0,1100,1052,40,8,6,.993,42,12,32,10,37,10,22,11,4,1
2004,Baltimore Orioles,12,5.12,162,486,420,4366.0,1105,1073,24,8,5,.993,18,5,17,1,-4,-1,6,-10,0,0
2004,Boston Red Sox,10,4.74,162,486,345,4354.0,1034,994,19,21,4,.980,-23,-6,-17,-6,-28,-7,-19,-7,-1,1
2004,Chicago Cubs,11,4.10,162,486,424,4396.0,976,939,24,13,9,.987,3,1,8,-5,4,1,8,-1,-3,0
2004,Chicago White Sox,9,5.13,162,486,428,4297.0,1091,1036,37,18,7,.984,3,1,1,2,17,4,9,7,1,0
2004,Cincinnati Reds,11,5.60,162,486,398,4331.0,1125,1067,35,23,5,.980,5,1,-5,9,5,1,-9,18,-4,0
2004,Cleveland Indians,9,5.29,162,486,445,4400.0,1127,1079,32,16,9,.986,0,0,1,-1,-8,-2,-6,-7,6,0
2004,Colorado Rockies,13,5.70,162,486,348,4306.0,1019,966,30,23,9,.977,-41,-11,-28,-13,-51,-14,-29,-16,-6,0
2004,Detroit Tigers,13,5.21,162,486,413,4319.0,1139,1073,34,32,6,.972,25,7,32,-7,11,3,19,-4,-3,0
2004,Florida Marlins,10,4.32,162,486,429,4317.0,1032,991,24,17,4,.984,-5,-1,2,-7,-3,0,5,-8,1,0
2004,Houston Astros,8,4.31,162,486,395,4329.0,948,900,29,19,3,.980,-17,-5,-19,2,1,0,-4,5,1,1
2004,Kansas City Royals,19,5.59,162,486,423,4261.0,1207,1148,34,25,7,.979,-20,-6,-9,-11,-1,0,8,-5,-3,0
2004,Los Angeles Dodgers,10,4.22,162,486,436,4360.0,1096,1052,21,23,5,.979,23,6,26,-3,24,6,24,-1,2,1
2004,Milwaukee Brewers,8,4.70,161,483,416,4326.0,1113,1077,22,14,9,.987,33,9,44,-11,1,0,13,-7,-5,0
2004,Minnesota Twins,9,4.41,162,486,436,4428.0,1105,1070,21,14,2,.987,-17,-5,-24,7,19,5,13,-1,7,1
2004,Montreal Expos,12,4.75,162,486,390,4341.0,1128,1068,41,19,12,.983,42,11,23,19,44,12,21,24,0,0
2004,New York Mets,11,4.51,162,486,399,4347.0,1098,1048,27,23,6,.979,-1,0,-8,7,-18,-4,-17,1,-1,0
2004,New York Yankees,6,4.99,162,486,427,4331.0,1092,1049,26,17,10,.984,-58,-16,-48,-10,-40,-11,-38,-3,1,1
2004,Oakland Athletics,8,4.58,162,486,422,4414.0,1056,1015,26,15,8,.986,24,7,18,6,5,1,4,-1,2,0
2004,Philadelphia Phillies,7,4.82,162,486,406,4388.0,1100,1051,34,15,9,.986,4,1,-1,5,-9,-2,-15,4,3,0
2004,Pittsburgh Pirates,10,4.62,161,483,378,4284.0,1018,973,21,24,5,.976,-29,-8,-28,-1,-22,-6,-26,6,-1,0
2004,San Diego Padres,10,4.35,162,486,369,4323.0,1118,1072,27,19,5,.983,-14,-4,-8,-6,-16,-4,-8,-5,-2,0
2004,Seattle Mariners,8,5.08,162,486,432,4378.0,1250,1207,30,13,7,.990,28,8,12,16,46,12,33,6,7,0
2004,San Francisco Giants,10,4.75,162,486,403,4371.0,1099,1058,25,16,6,.985,12,3,21,-9,-36,-9,-8,-21,-6,0
2004,St. Louis Cardinals,11,4.07,162,486,319,4361.0,978,935,24,19,4,.981,4,1,-3,7,-11,-3,-22,10,2,1
2004,Tampa Bay Devil Rays,15,5.23,161,483,440,4251.0,1220,1169,29,22,4,.982,19,5,11,8,-6,-1,-11,11,-5,0
2004,Texas Rangers,11,4.90,162,486,396,4319.0,1095,1062,24,9,5,.992,18,5,21,-3,0,0,8,-9,1,0
2004,Toronto Blue Jays,9,5.11,161,483,437,4263.0,1087,1043,34,10,7,.991,-20,-6,-19,-1,35,9,22,11,3,0
2005,Arizona Diamondbacks,9,5.28,162,486,388,4369.0,1008,979,18,11,2,.989,-39,-11,-36,-3,-36,-9,-18,-15,-3,0
2005,Atlanta Braves,8,4.16,162,486,435,4331.0,1100,1050,41,9,7,.992,65,18,47,18,64,17,35,24,5,1
2005,Baltimore Orioles,15,4.94,162,486,412,4283.0,1074,1032,25,17,4,.984,33,9,33,0,17,4,18,-4,2,0
