index,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Year,Tm,Playoff
0,0.33,91,0.29,0.144,0.025,0.161,0.079,0.255,0.377,0.295,0.62,0.294,0.505,0.201,-10.0,-0.04,-93.3,0.28,0.69,0.44,2001,Anaheim Angels,No
1,0.343,91,0.294,0.175,0.033,0.166,0.09300000000000001,0.24600000000000002,0.389,0.28600000000000003,0.66,0.285,0.518,0.19699999999999998,-2.9,-0.013000000000000001,28.4,0.31,0.65,0.42,2001,Arizona Diamondbacks,Yes
2,0.328,85,0.29,0.152,0.027999999999999997,0.16899999999999998,0.08,0.226,0.442,0.262,0.82,0.263,0.525,0.212,-5.9,-0.063,-38.8,0.3,0.65,0.45,2001,Atlanta Braves,Yes
3,0.317,88,0.278,0.131,0.022000000000000002,0.161,0.084,0.24600000000000002,0.392,0.28,0.67,0.304,0.49700000000000005,0.19899999999999998,-10.0,-0.02,-85.3,0.3,0.72,0.47,2001,Baltimore Orioles,No
4,0.341,100,0.3,0.173,0.032,0.18100000000000002,0.083,0.252,0.402,0.27699999999999997,0.69,0.284,0.516,0.2,-2.3,-0.015,-19.2,0.3,0.57,0.34,2001,Boston Red Sox,No
5,0.34,102,0.29,0.169,0.031,0.17300000000000001,0.09300000000000001,0.233,0.42700000000000005,0.258,0.79,0.268,0.528,0.204,2.8,0.02,38.7,0.31,0.65,0.39,2001,Chicago Cubs,No
6,0.347,101,0.29,0.183,0.035,0.162,0.085,0.237,0.39399999999999996,0.294,0.68,0.294,0.501,0.20600000000000002,2.0,-0.006,2.5,0.32,0.68,0.42,2001,Chicago White Sox,No
7,0.333,86,0.301,0.157,0.027999999999999997,0.188,0.075,0.249,0.414,0.258,0.73,0.278,0.518,0.204,-7.1,-0.017,-52.8,0.3,0.66,0.42,2001,Cincinnati Reds,No
8,0.355,111,0.308,0.179,0.033,0.16899999999999998,0.091,0.252,0.382,0.28300000000000003,0.65,0.318,0.49,0.192,8.6,0.08900000000000001,108.9,0.34,0.66,0.41,2001,Cleveland Indians,Yes
9,0.368,97,0.322,0.191,0.033,0.161,0.08,0.267,0.386,0.262,0.67,0.26899999999999996,0.532,0.19899999999999998,4.4,0.023,95.3,0.35,0.71,0.49,2001,Colorado Rockies,No
10,0.329,100,0.291,0.15,0.023,0.158,0.076,0.24600000000000002,0.408,0.26899999999999996,0.71,0.295,0.523,0.182,-3.9,-0.002,-43.1,0.32,0.69,0.39,2001,Detroit Tigers,No
11,0.333,95,0.303,0.159,0.027000000000000003,0.185,0.076,0.251,0.38799999999999996,0.28300000000000003,0.66,0.295,0.501,0.204,-2.4,-0.003,-2.4,0.31,0.69,0.37,2001,Florida Marlins,No
12,0.352,100,0.304,0.18,0.033,0.177,0.092,0.263,0.391,0.272,0.66,0.295,0.513,0.192,6.1,0.043,65.0,0.32,0.57,0.41,2001,Houston Astros,Yes
13,0.328,85,0.291,0.143,0.025,0.145,0.066,0.24,0.43200000000000005,0.265,0.78,0.27,0.513,0.218,-10.7,-0.013000000000000001,-85.9,0.32,0.7,0.4,2001,Kansas City Royals,No
14,0.332,99,0.279,0.17,0.033,0.172,0.084,0.23399999999999999,0.406,0.28300000000000003,0.71,0.287,0.522,0.191,3.2,0.019,26.4,0.31,0.68,0.41,2001,Los Angeles Dodgers,No
15,0.328,91,0.299,0.175,0.034,0.228,0.079,0.259,0.38799999999999996,0.27699999999999997,0.66,0.28600000000000003,0.509,0.205,-6.0,-0.025,-9.1,0.3,0.65,0.38,2001,Milwaukee Brewers,No
16,0.342,100,0.31,0.161,0.027000000000000003,0.175,0.08,0.251,0.436,0.257,0.79,0.28,0.519,0.20199999999999999,3.1,0.008,-15.1,0.32,0.69,0.48,2001,Minnesota Twins,No
17,0.318,79,0.291,0.143,0.022000000000000002,0.17800000000000002,0.079,0.242,0.43700000000000006,0.25,0.81,0.272,0.531,0.19699999999999998,-9.0,-0.028999999999999998,-88.9,0.3,0.66,0.39,2001,Montreal Expos,No
18,0.319,88,0.283,0.137,0.024,0.17300000000000001,0.08900000000000001,0.228,0.42200000000000004,0.281,0.75,0.28300000000000003,0.514,0.204,-5.2,-0.025,-99.2,0.27,0.58,0.41,2001,New York Mets,No
19,0.346,101,0.293,0.168,0.033,0.166,0.083,0.24,0.41600000000000004,0.285,0.73,0.292,0.504,0.204,1.2,0.022000000000000002,22.0,0.32,0.75,0.43,2001,New York Yankees,Yes
20,0.347,107,0.288,0.175,0.031,0.16,0.1,0.24100000000000002,0.39299999999999996,0.29,0.66,0.292,0.51,0.19699999999999998,8.5,0.042,106.4,0.34,0.7,0.4,2001,Oakland Athletics,Yes
21,0.333,93,0.297,0.154,0.026000000000000002,0.18100000000000002,0.08900000000000001,0.244,0.39299999999999996,0.282,0.68,0.273,0.506,0.221,2.1,-0.002,6.4,0.31,0.77,0.39,2001,Philadelphia Phillies,No
22,0.316,78,0.281,0.146,0.027000000000000003,0.184,0.078,0.22399999999999998,0.42200000000000004,0.27399999999999997,0.76,0.281,0.519,0.2,-8.1,-0.013000000000000001,-110.2,0.29,0.56,0.47,2001,Pittsburgh Pirates,No
23,0.334,101,0.297,0.147,0.026000000000000002,0.203,0.10800000000000001,0.261,0.385,0.29600000000000004,0.64,0.251,0.514,0.235,5.8,0.015,58.8,0.32,0.75,0.43,2001,San Diego Padres,No
24,0.362,120,0.32,0.157,0.026000000000000002,0.153,0.095,0.262,0.397,0.272,0.68,0.267,0.511,0.222,17.0,0.043,167.1,0.35,0.81,0.44,2001,Seattle Mariners,Yes
25,0.35,112,0.29,0.194,0.037000000000000005,0.17,0.098,0.242,0.37200000000000005,0.303,0.62,0.315,0.513,0.17300000000000001,3.8,0.033,55.5,0.29,0.58,0.37,2001,San Francisco Giants,No
26,0.345,99,0.302,0.172,0.032,0.17600000000000002,0.086,0.245,0.406,0.27,0.72,0.27,0.528,0.20199999999999999,3.2,0.03,61.5,0.33,0.72,0.48,2001,St. Louis Cardinals,Yes
27,0.321,89,0.303,0.13,0.02,0.183,0.075,0.249,0.43200000000000005,0.249,0.79,0.303,0.5,0.19699999999999998,-8.7,-0.011000000000000001,-102.6,0.3,0.69,0.41,2001,Tampa Bay Devil Rays,No
28,0.361,110,0.3,0.195,0.039,0.171,0.086,0.25,0.382,0.308,0.63,0.303,0.505,0.192,4.2,0.004,90.0,0.33,0.75,0.42,2001,Texas Rangers,No
29,0.337,94,0.293,0.167,0.031,0.174,0.075,0.248,0.402,0.281,0.69,0.307,0.496,0.19699999999999998,-6.3,-0.031,-34.8,0.31,0.74,0.35,2001,Toronto Blue Jays,No
0,0.346,106,0.303,0.15,0.024,0.127,0.073,0.285,0.345,0.295,0.54,0.304,0.499,0.19699999999999998,5.3,0.044000000000000004,75.1,0.34,0.7,0.39,2002,Anaheim Angels,Yes
1,0.348,93,0.298,0.156,0.026000000000000002,0.161,0.102,0.278,0.4,0.245,0.7,0.272,0.532,0.196,5.5,0.039,79.9,0.32,0.67,0.42,2002,Arizona Diamondbacks,Yes
2,0.335,91,0.29,0.15,0.026000000000000002,0.165,0.09,0.233,0.428,0.262,0.79,0.27699999999999997,0.529,0.193,0.7,0.004,-15.9,0.29,0.66,0.4,2002,Atlanta Braves,Yes
3,0.317,91,0.271,0.157,0.027000000000000003,0.163,0.07400000000000001,0.256,0.368,0.28800000000000003,0.6,0.33899999999999997,0.48700000000000004,0.174,-10.8,-0.013999999999999999,-105.3,0.29,0.7,0.4,2002,Baltimore Orioles,No
4,0.352,107,0.302,0.168,0.027999999999999997,0.149,0.086,0.27699999999999997,0.389,0.26899999999999996,0.65,0.31,0.504,0.18600000000000003,3.5,0.006999999999999999,78.5,0.33,0.74,0.38,2002,Boston Red Sox,No
5,0.332,93,0.283,0.167,0.032,0.203,0.094,0.275,0.39799999999999996,0.248,0.69,0.29,0.513,0.196,-6.2,-0.018000000000000002,-9.5,0.28,0.75,0.37,2002,Chicago Cubs,No
6,0.35,107,0.287,0.181,0.035,0.153,0.08900000000000001,0.25,0.369,0.29100000000000004,0.61,0.314,0.489,0.19699999999999998,2.9,0.01,86.3,0.34,0.71,0.4,2002,Chicago White Sox,No
7,0.334,88,0.293,0.155,0.027000000000000003,0.19,0.09300000000000001,0.266,0.392,0.258,0.68,0.281,0.513,0.20600000000000002,-3.3,-0.005,-29.2,0.28,0.69,0.45,2002,Cincinnati Reds,No
8,0.328,98,0.271,0.163,0.032,0.16399999999999998,0.08900000000000001,0.249,0.405,0.266,0.7,0.308,0.519,0.17300000000000001,-0.2,-0.022000000000000002,-24.6,0.31,0.58,0.38,2002,Cleveland Indians,No
9,0.341,85,0.311,0.149,0.025,0.16899999999999998,0.081,0.27899999999999997,0.418,0.23,0.75,0.255,0.542,0.203,0.4,-0.002,19.1,0.33,0.66,0.48,2002,Colorado Rockies,No
10,0.302,85,0.283,0.132,0.021,0.175,0.061,0.26,0.382,0.27899999999999997,0.64,0.28600000000000003,0.513,0.201,-14.1,-0.015,-176.2,0.27,0.6,0.45,2002,Detroit Tigers,No
11,0.334,95,0.301,0.142,0.023,0.18,0.095,0.266,0.409,0.24100000000000002,0.72,0.27,0.524,0.20600000000000002,-2.4,-0.003,-14.9,0.28,0.71,0.39,2002,Florida Marlins,No
12,0.342,92,0.3,0.156,0.027000000000000003,0.179,0.094,0.282,0.375,0.266,0.62,0.28800000000000003,0.511,0.201,-2.6,-0.025,13.0,0.3,0.72,0.4,2002,Houston Astros,No
13,0.325,82,0.282,0.143,0.023,0.14800000000000002,0.084,0.268,0.38799999999999996,0.265,0.66,0.272,0.53,0.198,-8.8,-0.015,-83.2,0.32,0.68,0.47,2002,Kansas City Royals,No
14,0.33,98,0.291,0.146,0.025,0.153,0.07,0.258,0.414,0.25,0.75,0.26,0.545,0.195,0.7,0.008,18.9,0.31,0.72,0.43,2002,Los Angeles Dodgers,No
15,0.321,86,0.294,0.137,0.023,0.185,0.08199999999999999,0.263,0.42100000000000004,0.239,0.77,0.248,0.5379999999999999,0.213,-16.4,-0.022000000000000002,-91.9,0.27,0.65,0.39,2002,Milwaukee Brewers,No
16,0.339,103,0.309,0.165,0.027000000000000003,0.17600000000000002,0.076,0.258,0.418,0.255,0.74,0.272,0.524,0.204,1.4,0.02,-2.5,0.32,0.56,0.39,2002,Minnesota Twins,Yes
17,0.338,93,0.298,0.157,0.026000000000000002,0.177,0.092,0.265,0.415,0.23600000000000002,0.76,0.259,0.535,0.20600000000000002,2.5,0.009000000000000001,8.6,0.3,0.65,0.45,2002,Montreal Expos,No
18,0.328,92,0.289,0.139,0.026000000000000002,0.17,0.079,0.24600000000000002,0.40399999999999997,0.259,0.72,0.29,0.517,0.192,-7.7,-0.038,-13.8,0.29,0.67,0.41,2002,New York Mets,No
19,0.36,115,0.31,0.18,0.035,0.184,0.1,0.27699999999999997,0.39,0.27899999999999997,0.65,0.298,0.5,0.20199999999999999,10.0,0.078,128.3,0.32,0.72,0.44,2002,New York Yankees,Yes
20,0.343,106,0.284,0.171,0.033,0.16,0.09699999999999999,0.272,0.379,0.289,0.62,0.29,0.511,0.198,7.6,0.028999999999999998,37.5,0.3,0.7,0.41,2002,Oakland Athletics,Yes
21,0.343,105,0.294,0.163,0.026000000000000002,0.17300000000000001,0.10099999999999999,0.281,0.371,0.264,0.62,0.27899999999999997,0.518,0.203,4.2,0.001,13.0,0.28,0.71,0.42,2002,Philadelphia Phillies,No
22,0.318,80,0.281,0.137,0.024,0.183,0.08900000000000001,0.258,0.38299999999999995,0.27399999999999997,0.65,0.27899999999999997,0.523,0.19699999999999998,-7.2,-0.033,-69.3,0.28,0.64,0.42,2002,Pittsburgh Pirates,No
23,0.32,95,0.288,0.129,0.022000000000000002,0.172,0.08900000000000001,0.278,0.39399999999999996,0.262,0.67,0.27,0.507,0.223,-3.7,-0.015,-30.0,0.28,0.62,0.39,2002,San Diego Padres,No
24,0.345,108,0.307,0.144,0.024,0.158,0.099,0.289,0.39399999999999996,0.255,0.67,0.253,0.527,0.22,4.6,0.034,52.9,0.31,0.7,0.39,2002,Seattle Mariners,No
25,0.353,113,0.289,0.175,0.031,0.153,0.098,0.27,0.363,0.29,0.59,0.298,0.516,0.185,6.1,0.073,94.3,0.3,0.78,0.38,2002,San Francisco Giants,Yes
26,0.343,102,0.292,0.157,0.027999999999999997,0.14800000000000002,0.087,0.26899999999999996,0.389,0.26,0.68,0.297,0.517,0.187,7.0,0.044000000000000004,77.9,0.32,0.67,0.44,2002,St. Louis Cardinals,Yes
