,Year,Tm,R/G,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd,Playoff
0,2000,Anaheim Angels,5.33,4322,953,5.9,117,0.303,0.28,0.279,0.352,0.352,0.472,0.448,0.825,0.8,105,0.529,39.4,3.3,0.805,0.308,0.193,133.4,0
1,2000,Arizona Diamondbacks,4.89,4338,829,5.1,120,0.29,0.265,0.278,0.333,0.356,0.429,0.454,0.763,0.81,88,0.481,-116.0,-10.8,0.726,0.27,0.164,125.8,0
2,2000,Atlanta Braves,5.0,4314,856,5.3,116,0.302,0.271,0.273,0.346,0.351,0.429,0.446,0.775,0.797,95,0.498,-45.1,-4.3,0.754,0.282,0.157,162.0,1
3,2000,Baltimore Orioles,4.9,4335,832,5.1,111,0.293,0.272,0.27,0.341,0.342,0.435,0.435,0.776,0.777,100,0.466,5.2,0.3,0.74,0.275,0.163,149.6,0
4,2000,Boston Red Sox,4.89,4360,852,5.2,118,0.297,0.267,0.28,0.341,0.353,0.423,0.45,0.764,0.803,90,0.474,-88.3,-8.2,0.721,0.267,0.156,68.4,0
5,2000,Chicago Cubs,4.72,4436,814,4.9,114,0.288,0.256,0.269,0.335,0.346,0.411,0.441,0.746,0.787,90,0.462,-83.0,-7.9,0.714,0.279,0.155,123.3,0
6,2000,Chicago White Sox,6.04,4329,967,6.0,117,0.309,0.286,0.279,0.356,0.352,0.47,0.448,0.826,0.8,106,0.535,49.0,4.2,0.811,0.302,0.184,153.5,1
7,2000,Cincinnati Reds,5.06,4379,900,5.5,118,0.299,0.274,0.276,0.343,0.353,0.447,0.45,0.79,0.804,96,0.514,-39.6,-3.8,0.76,0.283,0.173,133.3,0
8,2000,Cleveland Indians,5.86,4305,1026,6.4,116,0.318,0.288,0.277,0.367,0.351,0.47,0.446,0.837,0.797,110,0.564,92.4,8.0,0.836,0.316,0.182,149.5,0
9,2000,Colorado Rockies,5.98,4333,989,6.1,137,0.322,0.294,0.301,0.362,0.382,0.455,0.492,0.816,0.874,87,0.562,-130.5,-12.3,0.8,0.279,0.161,144.5,0
10,2000,Detroit Tigers,5.08,4362,855,5.2,110,0.303,0.275,0.269,0.343,0.341,0.438,0.432,0.781,0.773,102,0.475,23.6,2.0,0.74,0.271,0.163,113.0,0
11,2000,Florida Marlins,4.54,4316,799,4.9,111,0.304,0.262,0.266,0.331,0.342,0.409,0.434,0.74,0.777,91,0.466,-68.2,-6.4,0.715,0.266,0.147,163.9,0
12,2000,Houston Astros,5.79,4347,1006,6.2,122,0.305,0.278,0.281,0.361,0.36,0.477,0.46,0.837,0.82,104,0.568,25.4,1.9,0.834,0.331,0.199,156.4,0
13,2000,Kansas City Royals,5.43,4365,880,5.4,118,0.312,0.288,0.28,0.348,0.353,0.425,0.45,0.773,0.804,93,0.488,-65.8,-6.1,0.733,0.242,0.138,133.9,0
14,2000,Los Angeles Dodgers,4.93,4356,852,5.2,111,0.283,0.257,0.266,0.341,0.342,0.431,0.434,0.771,0.777,99,0.491,-1.6,-0.4,0.748,0.306,0.174,131.0,0
15,2000,Milwaukee Brewers,4.54,4477,762,4.5,114,0.284,0.246,0.27,0.325,0.346,0.403,0.44,0.729,0.787,85,0.428,-122.4,-11.4,0.686,0.274,0.158,102.4,0
16,2000,Minnesota Twins,4.62,4362,777,4.8,119,0.309,0.27,0.281,0.337,0.355,0.407,0.452,0.744,0.807,85,0.432,-136.4,-12.4,0.692,0.244,0.137,101.4,0
17,2000,Montreal Expos,4.56,4331,801,4.9,119,0.299,0.266,0.277,0.326,0.355,0.432,0.452,0.758,0.807,87,0.466,-127.6,-12.0,0.7,0.253,0.165,87.5,0
18,2000,New York Mets,4.98,4330,863,5.3,113,0.29,0.263,0.268,0.346,0.345,0.43,0.438,0.776,0.783,98,0.5,-3.7,-0.6,0.747,0.293,0.167,99.0,1
19,2000,New York Yankees,5.41,4263,910,5.7,114,0.304,0.277,0.275,0.354,0.348,0.45,0.442,0.804,0.79,103,0.514,33.6,2.8,0.783,0.295,0.173,133.5,1
20,2000,Oakland Athletics,5.88,4291,953,5.9,112,0.3,0.27,0.271,0.36,0.344,0.458,0.436,0.817,0.78,109,0.532,92.9,8.1,0.802,0.327,0.188,68.5,1
21,2000,Philadelphia Phillies,4.37,4377,775,4.7,116,0.29,0.251,0.273,0.329,0.351,0.4,0.446,0.729,0.797,83,0.446,-146.4,-13.7,0.693,0.272,0.148,119.4,0
22,2000,Pittsburgh Pirates,4.9,4406,852,5.2,115,0.299,0.267,0.272,0.339,0.349,0.424,0.445,0.762,0.794,92,0.486,-69.5,-6.7,0.721,0.265,0.157,113.8,0
23,2000,San Diego Padres,4.64,4405,776,4.7,109,0.294,0.254,0.263,0.33,0.339,0.402,0.43,0.732,0.77,91,0.444,-65.6,-6.2,0.698,0.271,0.148,142.8,0
24,2000,Seattle Mariners,5.6,4325,930,5.7,110,0.299,0.269,0.269,0.361,0.341,0.442,0.432,0.803,0.773,108,0.518,94.5,8.2,0.803,0.325,0.172,151.0,1
25,2000,San Francisco Giants,5.71,4293,994,6.2,110,0.303,0.278,0.265,0.362,0.341,0.472,0.432,0.834,0.773,115,0.568,148.1,13.2,0.829,0.33,0.194,117.1,1
26,2000,St. Louis Cardinals,5.48,4296,946,5.9,117,0.308,0.27,0.274,0.356,0.352,0.455,0.448,0.812,0.8,103,0.545,23.1,1.8,0.802,0.315,0.185,127.0,1
27,2000,Tampa Bay Devil Rays,4.55,4355,738,4.5,114,0.287,0.257,0.274,0.329,0.346,0.399,0.441,0.728,0.787,85,0.41,-124.1,-11.3,0.679,0.252,0.142,115.7,0
28,2000,Texas Rangers,5.23,4351,886,5.4,116,0.31,0.283,0.277,0.352,0.351,0.446,0.446,0.798,0.797,100,0.493,0.9,-0.1,0.754,0.269,0.163,98.7,0
29,2000,Toronto Blue Jays,5.31,4342,933,5.7,118,0.297,0.275,0.28,0.341,0.353,0.469,0.45,0.81,0.803,101,0.517,-8.7,-1.1,0.78,0.296,0.194,130.4,0
30,2001,Anaheim Angels,4.27,4364,758,4.6,108,0.29,0.261,0.268,0.327,0.336,0.405,0.431,0.732,0.766,91,0.461,-71.1,-6.8,0.688,0.245,0.144,133.8,0
31,2001,Arizona Diamondbacks,5.05,4351,889,5.5,118,0.294,0.267,0.278,0.341,0.35,0.442,0.455,0.783,0.805,94,0.538,-59.1,-5.9,0.751,0.286,0.175,105.9,1
32,2001,Atlanta Braves,4.5,4360,756,4.6,114,0.29,0.26,0.272,0.324,0.344,0.412,0.446,0.736,0.789,87,0.463,-119.9,-11.6,0.68,0.248,0.152,114.2,1
33,2001,Baltimore Orioles,4.24,4374,683,4.2,103,0.278,0.248,0.261,0.319,0.327,0.38,0.419,0.699,0.747,88,0.413,-84.0,-8.0,0.653,0.24,0.131,134.5,0
34,2001,Boston Red Sox,4.8,4348,831,5.1,108,0.3,0.266,0.269,0.334,0.336,0.439,0.431,0.773,0.766,101,0.505,8.9,0.6,0.724,0.267,0.173,74.7,0
35,2001,Chicago Cubs,4.8,4335,827,5.1,107,0.29,0.261,0.263,0.336,0.333,0.43,0.43,0.766,0.763,101,0.507,16.4,1.1,0.728,0.282,0.169,99.6,0
36,2001,Chicago White Sox,4.93,4302,832,5.2,110,0.29,0.268,0.272,0.334,0.339,0.451,0.437,0.785,0.776,102,0.51,7.0,0.6,0.754,0.29,0.183,156.2,0
37,2001,Cincinnati Reds,4.54,4409,776,4.7,116,0.301,0.262,0.274,0.324,0.346,0.419,0.449,0.744,0.796,87,0.47,-121.6,-11.7,0.692,0.25,0.157,130.0,0
38,2001,Cleveland Indians,5.54,4319,930,5.8,107,0.308,0.278,0.267,0.35,0.334,0.458,0.429,0.807,0.763,111,0.559,96.4,8.8,0.781,0.289,0.179,115.1,1
39,2001,Colorado Rockies,5.7,4328,1017,6.3,130,0.322,0.292,0.293,0.354,0.367,0.483,0.48,0.837,0.847,97,0.601,-37.1,-3.9,0.822,0.294,0.191,163.0,0
40,2001,Detroit Tigers,4.47,4369,737,4.5,101,0.291,0.26,0.259,0.32,0.325,0.409,0.416,0.73,0.74,97,0.448,-14.6,-1.5,0.682,0.247,0.15,135.9,0
41,2001,Florida Marlins,4.58,4344,796,4.9,108,0.303,0.264,0.264,0.326,0.334,0.423,0.432,0.749,0.766,95,0.488,-34.0,-3.4,0.701,0.253,0.159,115.9,0
42,2001,Houston Astros,5.23,4332,907,5.6,117,0.304,0.271,0.275,0.347,0.348,0.451,0.451,0.798,0.799,100,0.549,-3.2,-0.6,0.768,0.288,0.18,97.9,1
43,2001,Kansas City Royals,4.5,4399,745,4.5,112,0.291,0.266,0.274,0.318,0.342,0.409,0.44,0.727,0.782,86,0.45,-131.9,-12.6,0.663,0.225,0.143,120.6,0
44,2001,Los Angeles Dodgers,4.68,4352,791,4.9,104,0.279,0.255,0.259,0.323,0.329,0.425,0.424,0.748,0.753,99,0.485,-5.4,-0.8,0.705,0.273,0.17,124.3,0
45,2001,Milwaukee Brewers,4.57,4348,766,4.7,109,0.299,0.251,0.265,0.319,0.336,0.426,0.434,0.745,0.77,93,0.47,-62.9,-6.1,0.698,0.269,0.175,100.3,0
46,2001,Minnesota Twins,4.76,4300,817,5.1,108,0.31,0.272,0.269,0.337,0.336,0.433,0.431,0.77,0.766,101,0.502,5.9,0.4,0.735,0.264,0.161,154.5,0
47,2001,Montreal Expos,4.14,4329,690,4.3,112,0.291,0.253,0.27,0.319,0.341,0.396,0.442,0.715,0.783,83,0.425,-139.2,-13.3,0.656,0.241,0.143,114.1,0
48,2001,New York Mets,3.96,4357,709,4.3,107,0.283,0.249,0.262,0.323,0.333,0.387,0.43,0.71,0.763,87,0.434,-97.3,-9.4,0.653,0.241,0.137,91.1,0
49,2001,New York Yankees,4.99,4334,833,5.1,108,0.293,0.267,0.269,0.334,0.335,0.435,0.431,0.769,0.766,100,0.507,0.4,-0.1,0.744,0.281,0.168,179.6,1
50,2001,Oakland Athletics,5.46,4348,885,5.4,105,0.288,0.264,0.265,0.345,0.332,0.439,0.425,0.784,0.757,107,0.534,74.8,6.7,0.76,0.297,0.175,101.4,1
51,2001,Philadelphia Phillies,4.6,4345,794,4.9,109,0.297,0.26,0.265,0.329,0.336,0.414,0.434,0.743,0.77,93,0.487,-47.3,-4.7,0.717,0.273,0.154,158.3,0
52,2001,Pittsburgh Pirates,4.06,4347,691,4.2,114,0.281,0.247,0.272,0.313,0.344,0.393,0.446,0.706,0.789,79,0.424,-181.2,-17.5,0.647,0.236,0.146,117.9,0
53,2001,San Diego Padres,4.87,4345,787,4.8,103,0.297,0.252,0.258,0.336,0.327,0.399,0.422,0.735,0.749,97,0.483,2.2,-0.1,0.711,0.287,0.147,143.2,0
54,2001,Seattle Mariners,5.72,4315,958,5.9,102,0.32,0.288,0.26,0.36,0.326,0.445,0.418,0.805,0.744,117,0.573,163.6,15.1,0.805,0.289,0.157,171.5,1
55,2001,San Francisco Giants,4.93,4390,944,5.7,105,0.29,0.266,0.26,0.342,0.33,0.46,0.426,0.802,0.756,112,0.561,106.5,9.4,0.776,0.308,0.194,91.7,0
56,2001,St. Louis Cardinals,5.02,4274,862,5.4,111,0.302,0.27,0.269,0.339,0.34,0.441,0.44,0.78,0.78,100,0.532,-3.0,-0.6,0.746,0.279,0.172,124.9,1
57,2001,Tampa Bay Devil Rays,4.15,4350,692,4.3,104,0.303,0.258,0.264,0.32,0.33,0.388,0.423,0.707,0.753,88,0.422,-89.7,-8.6,0.646,0.224,0.13,117.9,0
58,2001,Texas Rangers,5.49,4362,949,5.8,110,0.3,0.275,0.272,0.344,0.339,0.471,0.436,0.815,0.776,109,0.564,73.0,6.6,0.793,0.303,0.195,139.1,0
59,2001,Toronto Blue Jays,4.73,4417,810,4.9,109,0.293,0.263,0.27,0.325,0.337,0.43,0.433,0.755,0.77,96,0.486,-44.3,-4.3,0.722,0.268,0.167,173.3,0
60,2002,Anaheim Angels,5.25,4344,860,5.3,105,0.303,0.282,0.264,0.341,0.332,0.433,0.425,0.773,0.757,105,0.531,40.2,3.7,0.735,0.243,0.15,132.2,1
61,2002,Arizona Diamondbacks,5.06,4328,844,5.2,116,0.298,0.267,0.278,0.346,0.354,0.423,0.443,0.769,0.797,93,0.539,-59.9,-6.0,0.74,0.281,0.156,118.1,1
62,2002,Atlanta Braves,4.4,4369,774,4.7,109,0.29,0.26,0.268,0.331,0.342,0.409,0.427,0.741,0.769,93,0.495,-62.2,-6.3,0.691,0.258,0.15,103.9,1
63,2002,Baltimore Orioles,4.12,4403,686,4.2,101,0.271,0.246,0.258,0.309,0.325,0.403,0.416,0.712,0.741,92,0.422,-60.3,-5.8,0.658,0.25,0.157,132.0,0
64,2002,Boston Red Sox,5.3,4322,886,5.5,108,0.302,0.277,0.268,0.345,0.336,0.444,0.431,0.789,0.766,106,0.547,51.3,4.7,0.754,0.273,0.168,110.2,0
65,2002,Chicago Cubs,4.36,4400,770,4.7,105,0.283,0.246,0.264,0.321,0.337,0.413,0.419,0.734,0.756,94,0.489,-56.1,-5.7,0.691,0.281,0.167,95.8,0
