Tm,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
Arizona Diamondbacks,96,330,96,17,24,33,19,14,58%,82,48,118,29,25%,,.987,108,73,149,133,64,133,87,243,61,91,84,61,3.1,17
Atlanta Braves,98,308,98,18,13,53,34,19,64%,115,60,130,48,37%,,1.018,110,71,127,172,35,101,85,223,63,57,71,38,3.4,19
Baltimore Orioles,96,334,96,25,20,35,26,9,74%,91,54,172,52,30%,,1.006,122,84,128,138,61,135,122,212,116,84,135,49,3.5,19
Boston Red Sox,97,360,94,22,19,41,20,21,49%,99,58,157,57,36%,,1.017,114,97,149,157,57,146,108,252,79,102,97,74,3.2,18
Chicago Cubs,96,327,96,20,21,38,21,17,55%,71,30,132,38,29%,,1.035,111,82,134,118,60,149,99,228,97,63,108,57,3.7,21
Chicago White Sox,96,337,96,20,12,42,27,15,64%,104,61,123,48,39%,,1.001,97,88,152,157,36,144,89,248,69,69,80,60,3.3,19
Cincinnati Reds,95,339,94,17,13,31,18,13,58%,67,36,148,56,38%,,.940,82,68,189,105,37,197,96,243,71,71,82,41,3.1,19
Cleveland Guardians,95,292,94,25,13,34,23,11,68%,62,25,116,35,30%,,.960,93,52,147,115,49,128,80,212,61,62,70,40,3.2,17
Colorado Rockies,97,304,96,17,17,37,28,9,76%,76,39,127,43,34%,,.977,111,55,138,117,56,131,80,224,67,53,73,52,3.4,19
Detroit Tigers,97,344,97,20,16,30,23,7,77%,86,54,114,32,28%,,.901,84,78,182,122,38,184,66,278,71,58,75,42,3.3,18
Houston Astros,97,288,95,15,9,39,30,9,77%,102,63,97,27,28%,,.988,97,69,122,169,34,85,63,225,52,60,57,40,3.1,17
Kansas City Royals,96,340,96,20,17,35,22,13,63%,92,53,175,53,30%,,1.009,115,80,145,134,47,159,112,228,75,98,89,78,3.2,19
Los Angeles Angels,96,301,95,12,20,37,21,16,57%,79,40,164,62,38%,,.962,93,79,129,131,46,124,105,196,80,73,100,30,3.6,19
Los Angeles Dodgers,95,329,94,20,16,39,29,10,74%,103,63,88,27,31%,,.927,78,99,152,192,48,89,63,266,50,68,57,57,3.0,16
Miami Marlins,96,323,94,17,15,41,24,17,59%,90,47,109,38,35%,,1.016,102,76,145,128,51,144,78,245,47,70,60,68,3.1,17
Milwaukee Brewers,97,312,97,21,16,49,36,13,73%,112,63,107,32,30%,,1.077,121,79,112,158,50,104,71,241,66,52,71,66,3.3,19
Minnesota Twins,96,321,96,22,19,37,20,17,54%,98,60,110,30,27%,,.970,99,94,128,176,48,97,74,247,93,59,104,30,3.6,20
New York Mets,96,290,96,19,13,40,27,13,68%,96,55,121,47,39%,,.994,90,73,127,167,40,83,91,199,79,56,94,29,3.5,19
New York Yankees,97,291,97,29,17,46,33,13,72%,106,56,130,40,31%,,1.084,110,89,92,159,58,74,97,194,78,62,92,48,3.4,18
Oakland Athletics,99,335,99,14,16,39,23,16,59%,110,69,182,52,29%,,.987,111,79,145,133,36,166,119,216,83,112,98,50,3.1,18
Philadelphia Phillies,96,318,96,20,17,34,24,10,71%,85,50,139,48,35%,,.986,96,78,144,140,48,130,93,225,47,75,59,53,3.1,18
Pittsburgh Pirates,97,303,97,28,22,41,24,17,59%,93,49,137,50,36%,,1.049,106,79,118,126,41,136,92,211,113,62,121,36,3.9,22
San Diego Padres,98,282,98,22,17,47,33,14,70%,98,47,122,50,41%,,1.042,103,73,105,140,47,94,81,200,77,57,80,40,3.4,19
Seattle Mariners,97,319,97,19,10,32,24,8,75%,81,48,101,28,28%,,.979,102,67,150,138,48,133,75,244,48,65,53,54,3.1,16
San Francisco Giants,96,344,95,19,22,32,19,13,59%,76,41,124,42,34%,,.976,104,88,152,146,67,131,83,261,70,81,76,72,3.2,18
St. Louis Cardinals,97,288,95,23,10,35,23,12,66%,78,43,149,47,32%,,.944,77,74,136,135,38,114,97,190,104,60,120,43,3.7,20
Tampa Bay Rays,96,344,96,27,22,50,27,23,54%,118,67,115,26,23%,,1.031,119,101,124,178,70,96,85,259,98,73,101,70,3.6,20
Texas Rangers,95,330,94,18,25,37,21,16,57%,86,49,126,39,31%,,.999,110,83,137,136,58,136,83,247,90,69,96,47,3.5,19
Toronto Blue Jays,96,344,96,19,18,44,27,17,61%,98,51,140,39,28%,,1.018,118,82,144,156,58,130,94,250,74,88,89,60,3.1,17
Washington Nationals,98,358,97,10,12,26,17,9,65%,66,39,157,45,29%,,.870,73,64,221,117,24,217,96,262,79,68,89,58,3.2,18
