
Tm,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max
Arizona Diamondbacks,104,104,27,32,45,11,3,46,58,.442,10,13,0,0,32,31%,51,83,9,126,32,1,58,4.3,4.0,5.2,86,30,56,18,0,115
Atlanta Braves,105,105,44,28,33,16,3,63,42,.600,15,9,0,0,47,45%,54,84,14,137,49,1,62,4.9,4.7,5.5,90,20,61,24,0,107
Baltimore Orioles,105,105,26,29,50,11,4,54,51,.514,3,22,0,0,24,23%,48,72,18,192,56,2,54,4.3,3.7,4.8,79,46,49,10,0,117
Boston Red Sox,106,106,30,32,44,10,3,53,53,.500,11,12,3,1,31,29%,50,87,7,166,60,3,58,4.5,4.3,4.9,80,46,49,11,0,112
Chicago Cubs,102,102,21,40,41,10,2,41,61,.402,6,11,0,0,23,23%,48,84,12,140,38,2,57,4.2,4.6,4.7,80,38,56,8,0,116
Chicago White Sox,104,104,32,38,34,14,7,53,51,.510,11,12,0,0,37,36%,52,86,-2,125,48,1,65,4.4,3.8,5.2,89,19,61,24,0,118
Cincinnati Reds,104,104,24,47,33,8,6,42,62,.404,12,11,1,1,37,36%,49,93,8,159,60,3,61,4.4,3.8,5.1,90,24,47,32,1,123
Cleveland Guardians,104,104,25,37,42,5,9,54,50,.519,7,11,1,0,45,43%,51,84,13,119,36,1,75,4.5,4.3,5.5,88,21,74,9,0,109
Colorado Rockies,107,107,28,42,37,4,6,46,61,.430,6,13,1,1,43,40%,46,86,6,142,50,1,67,4.5,4.0,5.3,88,20,71,16,0,107
Detroit Tigers,106,106,19,45,42,7,3,42,64,.396,7,17,0,0,26,25%,48,78,3,125,34,1,59,3.3,2.8,4.8,80,43,56,7,0,108
Houston Astros,106,106,51,28,27,15,9,68,38,.642,10,8,2,0,61,58%,57,89,19,101,28,0,88,4.6,4.7,5.8,91,12,70,24,0,115
Kansas City Royals,105,105,20,45,40,8,5,41,64,.390,11,8,0,0,29,28%,47,84,10,191,61,2,62,3.9,3.6,5.1,86,19,79,7,0,105
Los Angeles Angels,104,104,31,39,34,10,6,44,60,.423,4,10,1,1,34,33%,53,90,14,177,67,2,102,3.9,3.6,5.1,84,34,56,14,0,108
Los Angeles Dodgers,104,104,49,16,39,16,3,71,33,.683,7,14,1,1,43,41%,57,91,20,97,28,1,74,5.4,5.2,5.4,84,30,69,4,1,123
Miami Marlins,105,105,30,41,34,9,2,48,57,.457,9,10,3,1,36,34%,54,88,11,116,40,3,59,4.0,3.4,5.4,88,25,57,23,0,117
Milwaukee Brewers,104,104,35,30,39,13,4,57,47,.548,10,13,0,0,39,38%,53,83,15,118,38,1,74,4.7,4.4,5.3,91,19,55,30,0,115
Minnesota Twins,104,104,32,28,44,16,3,55,49,.529,6,12,0,0,23,22%,51,83,4,120,37,0,70,4.6,4.6,4.8,78,58,40,6,0,107
New York Mets,104,104,45,24,35,16,7,66,38,.635,9,6,0,0,46,44%,55,82,3,126,49,2,57,4.8,4.7,5.5,88,24,60,20,0,110
New York Yankees,106,106,39,16,51,16,5,70,36,.660,9,20,0,0,44,42%,56,84,14,141,43,0,67,5.5,4.9,5.5,88,26,60,20,0,114
Oakland Athletics,106,106,26,49,31,15,12,40,66,.377,12,9,0,0,32,30%,50,84,6,184,52,0,57,3.4,3.0,5.3,84,31,65,10,0,105
Philadelphia Phillies,104,104,34,31,39,9,5,56,48,.538,7,19,0,0,47,45%,54,84,15,144,51,2,61,4.7,4.3,5.5,87,25,56,23,0,110
Pittsburgh Pirates,104,104,12,38,54,5,5,42,62,.404,12,16,0,0,24,23%,47,78,6,152,55,7,60,3.7,3.2,4.8,80,38,60,6,0,106
San Diego Padres,107,107,37,28,42,5,7,61,46,.570,14,14,0,0,59,55%,55,83,3,128,52,0,90,4.5,4.1,5.7,93,13,63,31,0,114
Seattle Mariners,106,106,35,37,34,12,14,57,49,.538,7,15,0,0,49,46%,52,80,16,114,30,2,53,4.1,4.2,5.5,90,14,66,26,0,110
San Francisco Giants,105,105,31,32,42,10,6,51,54,.486,7,11,1,0,38,36%,53,87,11,134,48,9,50,4.6,4.5,5.1,82,30,59,16,0,112
St. Louis Cardinals,103,103,32,36,35,14,10,55,48,.534,5,8,2,0,37,36%,52,85,14,158,52,4,47,4.7,4.6,5.3,87,27,54,21,1,129
Tampa Bay Rays,104,104,26,26,52,11,7,55,49,.529,7,14,0,0,35,34%,54,84,7,125,29,10,58,4.1,3.9,4.6,73,47,55,2,0,102
Texas Rangers,104,104,27,30,47,12,4,46,58,.442,7,19,1,1,34,33%,50,84,13,133,42,8,42,4.5,4.2,4.9,80,35,58,11,0,108
Toronto Blue Jays,104,104,37,27,40,7,5,58,46,.558,6,16,0,0,45,43%,52,89,2,153,42,2,58,4.9,4.8,5.2,82,34,58,12,0,110
Washington Nationals,106,106,23,58,25,11,2,36,70,.340,4,10,1,0,20,19%,44,78,9,168,51,4,58,3.9,3.7,4.9,86,25,68,13,0,117


